Main_type,Moyenne_CO2
"Viandes, oeufs, poissons",12.82016434108527
Produits sucrés,6.703471698113208
Entrées et plats composés,4.564263698630137
Lait et produits laitiers,4.311529147982063
Matières grasses et ingrédients divers,3.355763888888889
Produits céréaliers,2.4933271276595743
Aliments infantiles,2.4042424242424243
Boissons et desserts,2.1568023255813955
"Fruits, légumes, légumineuses et oléagineux",1.3863098591549294
